Score,Level,Mean1,SD1,Mean2,SD2,Mean3,SD3
Curiosity,6,NA,NA,NA,NA,0.7660,0.6245
Curiosity,7,NA,NA,NA,NA,0.7111,0.6432
Curiosity,8,NA,NA,NA,NA,0.7111,0.6432
Curiosity,9,NA,NA,NA,NA,0.7515,0.6617
drive,1,26,4.8,NA,NA,NA,NA
drive,2,26,4.8,NA,NA,NA,NA
drive,3,25,4.8,NA,NA,NA,NA
drive,4,24,4.8,NA,NA,NA,NA
drive,5,22,4.8,NA,NA,NA,NA
drive,6,19,4.8,NA,NA,NA,NA
drive,7,18,4.8,NA,NA,NA,NA
drive,8,16,4.8,NA,NA,NA,NA
drive,9,14,4.8,NA,NA,NA,NA
Empathy,1,0.459442077,0.742359384,0.621577778,0.584922921,0.6235,0.5751
Empathy,2,0.459442077,0.742359384,0.621577778,0.584922921,0.6235,0.5751
Empathy,3,NA,NA,NA,NA,0.6332,0.5845
Empathy,4,0.452917476,0.790884104,0.602916965,0.602000585,0.6278,0.5773
Empathy,5,NA,NA,NA,NA,0.6477,0.6078
Empathy,6,NA,NA,NA,NA,0.6627,0.6137
Empathy,7,NA,NA,NA,NA,0.6370,0.6152
Empathy,8,NA,NA,NA,NA,0.6370,0.6152
Empathy,9,NA,NA,NA,NA,0.7154,0.6078
engagement,1,50,20,NA,NA,NA,NA
engagement,2,50,20,NA,NA,NA,NA
engagement,3,50,20,NA,NA,NA,NA
engagement,4,50,20,NA,NA,NA,NA
engagement,5,50,20,NA,NA,NA,NA
engagement,6,50,20,NA,NA,NA,NA
engagement,7,50,20,NA,NA,NA,NA
engagement,8,50,20,NA,NA,NA,NA
engagement,9,50,20,NA,NA,NA,NA
Focus,1,0.026,0.83328,0.015883869,0.649118412,-0.0192,0.6181
Focus,2,0.026,0.83328,0.015883869,0.649118412,-0.0192,0.6181
Focus,3,0.026,0.83328,-0.037109181,0.647558522,0.0059,0.6549
Focus,4,-0.0786,0.85185,-0.041969723,0.653704952,0.0775,0.6684
Focus,5,0.0165,0.82449,-0.052310962,0.682976686,0.0632,0.6924
Focus,6,0.0165,0.82449,0.004544681,0.679176601,0.1068,0.6989
Focus,7,0.308,0.7991,0.094483879,0.697876339,0.1312,0.6850
Focus,8,0.308,0.7991,0.094483879,0.697876339,0.1312,0.6850
Focus,9,0.2123,0.89387,0.372164571,0.731804143,0.3491,0.7244
focused,1,4,3,NA,NA,NA,NA
focused,2,4,3,NA,NA,NA,NA
focused,3,4,3,NA,NA,NA,NA
focused,4,4,3,NA,NA,NA,NA
focused,5,4,3,NA,NA,NA,NA
focused,6,4,3,NA,NA,NA,NA
focused,7,4,3,NA,NA,NA,NA
focused,8,4,3,NA,NA,NA,NA
focused,9,4,3,NA,NA,NA,NA
Humility,1,0.496035951,0.530820664,0.547666598,0.591854069,0.5387,0.5854
Humility,2,0.496035951,0.530820664,0.547666598,0.591854069,0.5387,0.5854
Humility,3,NA,NA,NA,NA,0.5253,0.5867
Humility,4,0.195118234,0.699992368,0.568591008,0.607153179,0.5373,0.5954
Humility,5,NA,NA,NA,NA,0.5336,0.5958
Humility,6,NA,NA,NA,NA,0.5065,0.6056
Humility,7,NA,NA,NA,NA,0.4872,0.6118
Humility,8,NA,NA,NA,NA,0.4872,0.6118
Humility,9,NA,NA,NA,NA,0.5169,0.6339
Independence,1,-0.0461,0.89026,0.086141236,0.753842543,0.0604,0.7547
Independence,2,-0.0461,0.89026,0.086141236,0.753842543,0.0604,0.7547
